"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ABHD2",601.967812746481,-0.337510985083874,0.0895608844524575,-3.76850884342302,0.000164225668055102,0.00398878282942184
"ACSL4",782.024681371914,-0.367451745525255,0.0892487608951844,-4.11716355319261,3.83563881320143e-05,0.00137524304787054
"ACSS2",136.872689106797,-0.415012208809824,0.113394141724078,-3.6599087263227,0.000252305102929825,0.00543687763889185
"ACVR1B",112.715268922084,-0.673845015292706,0.16808748163219,-4.00889470619363,6.10036076510804e-05,0.00192326644811288
"ACVR1C",30.6953781686964,-1.03125140556813,0.22669875171127,-4.54899463620144,5.39028168168314e-06,0.000325450969460114
"ADAMTS1",39.0476467265831,-0.542813308302215,0.150468428539037,-3.60748971443793,0.000309173790201841,0.0063116818414411
"ADAMTS12",9.75407894715846,-0.692231999967129,0.168051379237679,-4.11916881079618,3.80241513010011e-05,0.00136838482810391
"ADAMTS2",14.3805847265157,-0.684427463941997,0.171524293814402,-3.9902654529077,6.59993872026989e-05,0.00202103386649413
"ADAMTS9",12.2272018965557,-0.735946492009865,0.1498428883873,-4.91145425672562,9.04033791294123e-07,8.45680995612938e-05
"ADGRL4",40.697640942918,-0.447178167667609,0.0881068493256475,-5.07540754311638,3.86666338673265e-07,4.94932913501779e-05
"ADH4",615.767375273263,-1.24253666789894,0.259549793523975,-4.787276657125,1.6905971102079e-06,0.000135377019722928
"AEBP1",13.1507437146714,-0.761760144974563,0.187118755241192,-4.07099835605828,4.6812079866953e-05,0.00158098844933245
"AGTR1",721.541204984841,-0.830476316758945,0.156018041962795,-5.32295051463975,1.02097526495268e-07,1.65423840397396e-05
"AKAP7",16.447137526509,-0.405726829301812,0.11139650535597,-3.64218633255417,0.000270332276713425,0.00574665986871803
"ALAS2",49.9673206670713,-0.765145168495041,0.186341173456285,-4.10615192715067,4.02304931597622e-05,0.00142251467526231
"ALKBH5",116.760962394868,-0.359041584277983,0.0664530837452518,-5.40293337859791,6.55598143419936e-08,1.24251601758868e-05
"ALYREF",89.5370917365805,-0.28440464740342,0.0790987833379193,-3.5955628569963,0.000323690957045929,0.00653508556811971
"AMD1",168.764204346973,-0.425056703582332,0.0878493512103976,-4.83847288256379,1.30840543124964e-06,0.000115500617379279
"ANAPC5",72.1065053291169,-0.590138087364766,0.165683720073863,-3.56183508616102,0.000368271694131276,0.0072704527899111
"APBA1",87.045230903063,-0.487386314983601,0.133278964458649,-3.65688851922927,0.000255295343356745,0.00548285301168849
"APOA1",1224.90721959313,-0.631773215996146,0.150326482250187,-4.20267411662499,2.63780208036477e-05,0.00107186878186251
"APOLD1",11.5959915132989,-0.891703108855014,0.198924489135378,-4.48262108265697,7.37317820536118e-06,0.00040855706072997
"ARAP2",138.030314784072,-0.700095427910051,0.201539993055781,-3.47372954268329,0.000513278120188428,0.0092927297573011
"ARFRP1",43.7103636711351,-0.56183371522791,0.146476533895204,-3.83565681332868,0.000125229173327144,0.00324480449106769
"ARHGEF10L",129.675277528136,-0.495570388545831,0.130743442078441,-3.79040340890297,0.000150402812892089,0.00374543969848003
"ARHGEF40",14.4416785114595,-0.529491986620065,0.122511881227729,-4.32196437858812,1.54646160346186e-05,0.00070695387586828
"ARL10",8.55241768178008,-0.722905939785506,0.173583002831191,-4.16461247930209,3.11881842222234e-05,0.00118812130370375
"ARL5A",238.423470039781,-0.43906299341543,0.109214260814895,-4.02019837097639,5.81491569143162e-05,0.00185151544403793
"ARL9",7.73904990739103,-0.89153822030529,0.214453850883656,-4.15724976087727,3.22101787079138e-05,0.00121261849253322
"ARPC1A",122.94849177804,-0.265216567928712,0.0714791534133978,-3.71040443630941,0.000206928399686474,0.00469624736877105
"ARRDC4",62.428735824507,-0.958975049564483,0.229994857181033,-4.16954996871802,3.05201697415438e-05,0.00116963524758012
"ASPA",688.276418708061,-0.665146743536701,0.157454511619941,-4.2243739902621,2.39605869849227e-05,0.000986159207096498
"ATN1",43.187983415473,-0.296475924057947,0.072406917826934,-4.09458008924755,4.22934201248462e-05,0.00148724114724734
"ATP13A3",110.625780214423,-0.420999154139757,0.103463825643187,-4.06904685306773,4.72058548016951e-05,0.00158591848152676
"ATP1B3",330.089928515971,-0.568559451167843,0.131746712836608,-4.31554942758206,1.59206422228299e-05,0.000717550072014868
"AZIN1",167.830297953233,-0.332689325750046,0.0833871152562599,-3.98969702606508,6.61577457266701e-05,0.00202104807947823
"BASP1",38.7205382070573,-1.18917061740077,0.332828106867162,-3.57292726444942,0.000353012838737122,0.00702049906993894
"BAZ1A",305.140466421328,-0.478877748254641,0.107916890955952,-4.43746798126441,9.10232564187988e-06,0.000467910715727159
"BCL6",683.11108241855,-0.315638249556026,0.0684524611484265,-4.61105772181986,4.00625266167102e-06,0.00025899007105752
"BCL7B",59.0680036927098,-0.277404676043975,0.0681072013981129,-4.07305938798509,4.6399586886493e-05,0.00157956040464657
"BMP4",11.9606579383727,-0.531266337536457,0.148044006597112,-3.58857038354986,0.000332496234233725,0.00669174811036428
"BRD2",289.012618521832,-0.262786402783271,0.0674750235580326,-3.89457296828149,9.83718768595443e-05,0.00274326802571278
"BRMS1L",41.9272532443462,-0.424562285127218,0.0789447563768676,-5.37796687978155,7.53316696859339e-08,1.33922968330549e-05
"CASTOR2",8.76367573842254,-0.679934642848501,0.140228218528007,-4.84877188048068,1.24228180052834e-06,0.000110425048935853
"CCZ1",248.603057691401,-0.674800238462481,0.17263802057072,-3.90875796786638,9.27718494438637e-05,0.00262716741787933
"CD55",81.202412787712,-0.870467936960169,0.245429629196515,-3.54671088331877,0.000390072411301333,0.00754218559615871
"CD9",606.269838693278,-0.292430022096851,0.0796439642270356,-3.67171605450529,0.000240927277688264,0.00522689687188099
"CDC42BPG",13.9853446765872,-0.560243131139162,0.1238987449756,-4.52178213144528,6.13211578644455e-06,0.000361298629939853
"CDH5",85.222336303069,-0.423436521642594,0.0885000603583697,-4.7845902017235,1.71336540586831e-06,0.000135377019722928
"CEMIP2",63.1384594130925,-0.351794497207286,0.089301696172849,-3.93939322861646,8.16879462770087e-05,0.00238722765375733
