"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ATN1",141.822314039018,-0.322969251260397,0.0658450432616479,-4.90498958254179,9.34322979418598e-07,0.000160531440332211
"BRD2",613.007307416423,-0.203528566378989,0.0424998108167154,-4.78892876151203,1.67673987099717e-06,0.000254018850113196
"CD34",14.5743576328125,-0.703129742353815,0.183298684377211,-3.83597811813445,0.000125065543554269,0.00846168843384273
"DOCK6",136.231266192137,-0.350180592687209,0.0879064413143115,-3.98356010608062,6.78904903180543e-05,0.00521248127910614
"ELOVL5",291.306591392307,-0.28430940171342,0.0706186410809143,-4.02598233783147,5.6737947823851e-05,0.00460954407451639
"EPB42",10.5482154938134,-2.02595806024369,0.484850070861468,-4.17852483066368,2.93405967661848e-05,0.00279656578520321
"FKBPL",27.3873582039189,-0.48212286309259,0.116278448653107,-4.14627877028962,3.37922369228676e-05,0.00313192369605144
"FNDC7",54.540353374938,-0.570028367961226,0.136972502430242,-4.16162629613584,3.15989157541513e-05,0.00298999015882397
"GFOD2",34.5797259557552,-0.473522012133234,0.121365861302065,-3.90160797322315,9.55558219639638e-05,0.00685586770992
"GPR182",12.4996271755977,-0.932120043267531,0.227178341357694,-4.10303217153919,4.07770522110916e-05,0.00362222277396214
"GYPA",18.0643583178685,-1.99749559160876,0.407714658216143,-4.89924890203438,9.62037100105408e-07,0.000163146499391902
"HEMGN",37.1060097193307,-1.62441958560443,0.329354583337568,-4.93212989217612,8.13377966925552e-07,0.000142495221872389
"HEXIM1",276.296225674613,-0.30044999125886,0.0713875820001958,-4.20871505716549,2.56827017438654e-05,0.00264066708166452
"HOOK2",11.5903598309873,-0.817081903656408,0.214877396072545,-3.80254935414682,0.000143214724221169,0.00935048934440013
"ISYNA1",510.535277982874,-0.366376124887913,0.0873777882389015,-4.19301211752117,2.75274732966114e-05,0.00276101915810279
"ITGA1",1154.11907476844,-0.360417267507275,0.0879211187032513,-4.0993253136797,4.14356277991149e-05,0.00365585424189758
"LIMA1",253.176700666453,-0.596141719441946,0.137863834478556,-4.32413418426043,1.53132073438429e-05,0.00169457509742288
"LOC107498323",237.321885207376,-0.310544276797084,0.0818205961246833,-3.79542916460615,0.000147388274042482,0.00956848955440689
"LOC107505632",141.795605904816,-1.7322801509687,0.414242367776043,-4.18180342167522,2.89205969459766e-05,0.00279656578520321
"LOC107515542",134.248876086626,-0.337408529032327,0.080728778097286,-4.17953221868064,2.92109334707047e-05,0.00279656578520321
"LOC118601588",164.40917387519,-0.528026401157161,0.120425841668853,-4.38466025098774,1.16166939905848e-05,0.00131905034894832
"LOC118603870",24.1202065762979,-0.840566791318098,0.204590330559803,-4.10853625886486,3.9817469823013e-05,0.00356120904759523
"MAPK12",8.46469780910713,-0.863492147344466,0.206624779697306,-4.17903481184316,2.92748876592677e-05,0.00279656578520321
"MEGF11",5.2181950563033,-1.32107708096144,0.275968349777426,-4.78706011767986,1.69242150098392e-06,0.000254018850113196
"MOSPD1",50.3774590499966,-0.395785332433398,0.0892666194944877,-4.43374393109889,9.26106152799506e-06,0.00109937219484145
"MRAS",47.5428543501434,-0.434136468106606,0.103572889280997,-4.19160333481457,2.76989975272986e-05,0.00276101915810279
"MTM1",134.931654568498,-0.377141986577432,0.0986453153527368,-3.82321233632681,0.000131724249813823,0.00882079617471228
"NDRG1",125.860786471325,-0.518789187670445,0.118024423046093,-4.39560875860276,1.10462738709157e-05,0.00126528284391595
"PPFIBP1",123.638498101971,-0.419390471372351,0.101655897679075,-4.12558917827234,3.6978685566965e-05,0.00335324775092659
"RESF1",1352.30606232159,-0.339954717164872,0.0849114427579779,-4.00363845110772,6.23756688231554e-05,0.00484822311602835
"RHCE",7.02088520354179,-1.16845120989348,0.290368269743072,-4.02403200228235,5.72101379382537e-05,0.00460954407451639
"SLC11A2",91.6138342243813,-0.463817097040013,0.114723159498008,-4.04292471606892,5.27885738806637e-05,0.00436645223362073
"SLC6A9",17.294444740541,-0.996286188149098,0.201791536118857,-4.93720503501335,7.92501397555195e-07,0.000141760044510627
"SMOC1",205.637634010781,-0.574596179558981,0.130108949559874,-4.4162694534288,1.00418895168977e-05,0.00117077672599687
"SNAI2",32.390324908308,-0.559779584406113,0.138938089398144,-4.02898576503378,5.601800984255e-05,0.00460052309763533
"SNCA",16.3652107749478,-1.50669027006527,0.394981597097871,-3.8145834670164,0.000136412826017039,0.00908815654148213
"SNX33",35.088839104429,-0.415831043842303,0.104870295616975,-3.96519377957198,7.33363451256499e-05,0.00544105678778827
"SRRM2",3180.16833106456,-0.192582468961439,0.0498394261120547,-3.86405871786028,0.000111518395672778,0.00767518707502705
"TACC1",435.3048584575,-0.276678271912409,0.0718240225810277,-3.85216898148912,0.00011707618268857,0.00800408792433169
"TBC1D25",71.361090933212,-0.305739198002279,0.0803337630147099,-3.80586177627825,0.000141311289927239,0.00931940820136307
"TMCC2",8.56355469239765,-1.39371015791594,0.346957085780071,-4.01695257147561,5.89555837259567e-05,0.00463760248369604
"TOPORS",488.107021126446,-0.264648540463562,0.0576665303228874,-4.58929189916123,4.44752135625408e-06,0.000578772151334821
"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1CF",19.8089195101404,-3.19115835240813,0.94867753303619,-3.3637966972771,0.000768781522806754,0.00348819882085777
"AAK1",94.5378379155951,-0.314311450699844,0.0799802731409888,-3.92986218171296,8.49945636120148e-05,0.000573390376707802
"AASS",80.4455825285218,-1.17320087571144,0.29538708345025,-3.97174061237867,7.13493853601086e-05,0.000496426209425583
"ABCA10",44.9035475001239,-1.1271672724738,0.256159029893729,-4.40026366800899,1.08119423788144e-05,0.000103510162946564
"ABCA5",26.4731418806579,-0.666151706228422,0.204049329467017,-3.26466010924139,0.0010959550274517,0.00460695489285805
"ABCA8",337.076589174882,-0.769151763364426,0.143744631597056,-5.35082079114095,8.7556195677903e-08,1.86259721700101e-06
"ABCA9",60.4460871327046,-1.04782535348433,0.182128884859988,-5.75320797845906,8.75656467394902e-09,2.8099077533248e-07
"ABCB1",81.9884593842434,-0.523696376964171,0.142838192639616,-3.66636098711685,0.00024602656236748,0.00137027843205677
"ABCB11",23.3912165094769,-2.34621098335543,0.661427522667921,-3.54719285628121,0.000389359456323986,0.0019988819891544
"ABCC5",118.329772322427,-0.763086328493274,0.130267725467308,-5.85783106103881,4.68951328960344e-09,1.70629094201227e-07
"ABCC8",1.77016830596594,-2.14053860744181,0.692883751776866,-3.08931852125628,0.0020061622878224,0.00750873051909245
"ABHD12",180.314996287197,-0.411104271268333,0.09060856801623,-4.5371456614864,5.70207241761755e-06,6.16351447933546e-05
"ABHD14B",16.9991685333858,-0.725836805070363,0.222442193893831,-3.26303563350394,0.00110225659654357,0.00462906057905101
"ABHD15",5.30121803801122,-0.993229892135765,0.261799436444942,-3.79385802209184,0.000148324506365509,0.000899880387822091
"ABHD16A",148.976543101056,-0.268873115500028,0.0737115538504597,-3.64763868694855,0.000264661460522812,0.00145220299537795
"ABHD2",215.896584660538,-0.521855310425059,0.15233519732212,-3.42570410252315,0.000613208020013592,0.0029062203896255
"ABI2",88.2233788638857,-0.252208049846665,0.0798770106147848,-3.15745479087799,0.0015915291307511,0.00622876006987737
"ABR",127.168907771351,-0.362345118126967,0.098017903948975,-3.6967237976808,0.000218399732221838,0.00124398170829693
"ABTB1",102.177365641065,-0.529180494388617,0.0965898976604589,-5.47863189842936,4.286270126902e-08,1.03229498899922e-06
"ACAD8",26.2142229198272,-0.434716222918121,0.123094523387617,-3.53156428860142,0.000413109429425942,0.002097361140551
"ACE",187.104871860971,-0.797009956324435,0.153358212075363,-5.19704778465185,2.024783294062e-07,3.79775198972164e-06
"ACER2",73.2569984501967,-0.608708578457332,0.119931146900671,-5.0754836769924,3.8651153797712e-07,6.54856762244442e-06
"ACOT9",85.6619217953467,-0.255955141336979,0.0804372926245149,-3.18204570275369,0.00146238739946603,0.00583246870281194
"ACOX2",43.5792805283976,-0.602596931496573,0.186996716353144,-3.22250006977965,0.0012707713479385,0.00520130478600778
"ACP6",31.3735805953463,-0.427231433343696,0.129663083972402,-3.29493499811117,0.000984444485954259,0.00425368177139937
"ACSF2",286.541099556245,-0.848188056385266,0.229347376798538,-3.69826796462698,0.000217075660189371,0.00123802850824062
"ACSS1",123.342899617631,-0.648341549930207,0.126750491297384,-5.11510088279702,3.13573317922952e-07,5.46577994081146e-06
"ACSS3",20.1273109895138,-0.634716735199449,0.198227134951923,-3.20196695247293,0.00136492655982544,0.00551311100915843
"ACTN4",306.304924465003,-0.188771000366565,0.0448994769375114,-4.20430288373483,2.61888052961813e-05,0.000215547787471722
"ACVR1",41.7595498286013,-0.454401470357975,0.0954511742694011,-4.76056448583308,1.93052236726867e-06,2.54794513031881e-05
"ACVR1B",13.1257556502615,-0.486171288416963,0.153904903190514,-3.15890708053107,0.00158361972473826,0.00620266584539393
"ADAMTS10",14.5005874101526,-0.556077545383108,0.166069815132452,-3.34845646055305,0.000812630481851631,0.00364247732306233
"ADAMTS5",164.903742488518,-0.83840979973441,0.167899427179392,-4.993523884025,5.92874499976957e-07,9.43286704443625e-06
"ADAP2",143.083763603812,-0.533326760745257,0.127728149328095,-4.17548334921305,2.97354004653108e-05,0.00024116097929144
"ADCY4",156.5999002527,-0.333797342240021,0.0990133866393759,-3.37123447212011,0.000748321377188484,0.0034139759438229
"ADCY5",17.386580631873,-0.468060292798705,0.154288907416181,-3.03366133468138,0.00241605486403143,0.00871232131716941
"ADCY6",60.7546378214487,-0.587208399624405,0.149034882719262,-3.94007355130766,8.14566309467135e-05,0.000556530474139768
"ADCY9",62.9587266993916,-0.664517969676697,0.116607080768783,-5.69877888457178,1.20668610355566e-08,3.59495276086146e-07
"ADGRE3",103.93050772184,-0.887038601700311,0.186297797215346,-4.7614014495027,1.92253176756601e-06,2.54243848546938e-05
"ADGRE5",254.862007010595,-0.330033415440977,0.0956977852082782,-3.44870484434605,0.000563282042284265,0.00271390266175816
"ADGRF5",94.8824044418222,-0.511397080460644,0.139796582448542,-3.65815151918242,0.000254040854492868,0.00140609395647611
"ADGRG1",61.4959578499286,-0.479717372631655,0.142965246084405,-3.3554824390568,0.000792266863845363,0.00357385439405967
"ADGRG6",108.651928869882,-0.576091473122681,0.129847038734786,-4.43669319482405,9.13513486773504e-06,9.01798302695534e-05
"ADGRL4",54.4711984816873,-0.757891900083987,0.14422002855993,-5.2551085147584,1.47937218719093e-07,2.91863695064023e-06
"ADH7",104.821672530317,-1.95418204949084,0.571690957993561,-3.41824900703232,0.000630254175850928,0.00296785532524993
"ADIPOR2",138.769985774969,-0.353273268139538,0.106669333561858,-3.31185408536066,0.000926798719499269,0.00405060011407015
"ADM",65.7376582425924,-0.838717151717721,0.141327876523642,-5.93454859967004,2.94655043577639e-09,1.17482671117468e-07
"ADORA2A",10.4950995504957,-1.15863783177257,0.245660452353569,-4.71641984158277,2.40030871299977e-06,3.02125814092797e-05
"ADRA1A",9.11528880502378,-1.88086236425082,0.608644044568542,-3.09025017337373,0.00199987968233817,0.00749282277496193
"ADRB2",80.484964355982,-0.889495597965541,0.122493232320495,-7.26158973124524,3.82567080925743e-13,7.96038408857519e-11
"AFDN",19.6402463264909,-0.614160341076007,0.156454794640027,-3.92548111094373,8.65565625094191e-05,0.000582554011720491
"AGAP1",14.7610552393436,-0.530449524885358,0.131877192675338,-4.02229918702658,5.76327851454719e-05,0.000416664386418159
"AGAP3",11.3462629846789,-0.648034692105906,0.148118254786495,-4.37511698365617,1.21367372347088e-05,0.000113421003336573
"AGER",27.0993966951843,-0.568109868108236,0.140751443058509,-4.03626318681563,5.43092904929477e-05,0.000397820033825404
"AGL",126.508978710123,-0.411309739049934,0.112506139700694,-3.65588704886829,0.000256294191930765,0.00141445078903523
"AGMAT",56.1965402286525,-1.27622894567558,0.35495129035674,-3.59550445468989,0.000323763587780626,0.00172255681121638
"AGO3",163.948048212924,-0.257113457091389,0.0628902775906692,-4.08828624934446,4.34571713210365e-05,0.00032863097699162
"AGT",38.5057731657603,-2.0211397472318,0.595598069333211,-3.39346255687921,0.000690149927609551,0.00319011682956487
"AGTR1",47.5678836526389,-0.689300684617397,0.167650278980433,-4.11153914451791,3.93030221052861e-05,0.00030132316947386
"AHCYL2",45.4369968800969,-0.449834019993681,0.103734005177118,-4.3364181227325,1.44823337910055e-05,0.000131586499282845
"AHNAK",192.175287487767,-0.40200382930227,0.0988273468038724,-4.06773876162098,4.74715578859369e-05,0.000354360278232635
"AHR",288.122845993447,-1.01073266523856,0.162197233199278,-6.23150373962764,4.61978964426435e-10,2.58494700389363e-08
"AHSG",391.195173994994,-1.79232964595511,0.553743267927514,-3.23675202890182,0.00120898416747238,0.00498607685296678
"AK3",87.3400382584255,-0.498682137304739,0.110948354683251,-4.4947231414872,6.96605210031231e-06,7.27013446864099e-05
"AK4",6.54531118852618,-1.90303081941163,0.435585316574154,-4.36890488958358,1.24871131303258e-05,0.0001158915109387
"AK9",13.7716331475155,-0.648470214401367,0.204607420779276,-3.16933868738277,0.00152786242766794,0.00604113537685689
"AKAP10",97.1977757018029,-0.350532730960231,0.0925081196800481,-3.78921041928639,0.000151126865616952,0.000914798395191344
"AKAP11",153.75353292599,-0.27834403275,0.0777953773268549,-3.57789938572501,0.000346366724179807,0.00181728807650083
"AKAP13",550.522234675534,-0.309500681546011,0.0673494664647707,-4.5954437027041,4.31829375865164e-06,4.92352037533938e-05
"AKAP4",238.029299890119,-0.608064663767381,0.154430977733774,-3.93745265807767,8.23511723148106e-05,0.000560769778198119
"AKAP5",45.4318265435296,-0.608106551681833,0.144930354893831,-4.19585360242375,2.71845804328819e-05,0.000222779727769039
"AKT1",12.2782215851185,-0.837485119747084,0.264718693999458,-3.16367955392224,0.00155788221517362,0.00613576176809141
"AKT3",129.245733288295,-0.257503621147572,0.0816216299914112,-3.15484536604658,0.00160583192093258,0.00626938249518004
"ALAS1",46.7190862150761,-1.06610575625628,0.325960102263487,-3.27066333840606,0.00107295559806812,0.00453604752364227
"ALB",11565.3080664736,-1.79806063605643,0.601032931563084,-2.99161749986026,0.00277503722596694,0.00970716331447381
"ALDH2",502.256524586802,-0.578886233683083,0.110531202757859,-5.23731054434692,1.62933413000565e-07,3.19085920724784e-06
"ALDH4A1",19.8322183432704,-1.50971949212909,0.390912761961356,-3.86203685076501,0.000112445599921211,0.000720268424314946
"ALDH6A1",27.5259789365769,-0.846731494001726,0.233977452915005,-3.61885935355195,0.000295904394398049,0.00159795572595248
"ALDOB",3163.91703761232,-1.70243223117903,0.564908362439417,-3.01364317537716,0.00258131209265273,0.00919864413643467
"ALOX15",455.316802278201,-0.573906240921647,0.16876751173918,-3.40057298355257,0.000672447823374961,0.00312783362343149
"ALPK3",61.2265361540649,-0.96813429186853,0.156278648065471,-6.19492364345858,5.83132924478455e-10,3.02885208182303e-08
"AMFR",338.475049781119,-0.202874907341817,0.0602352250023199,-3.36804431848646,0.000757034258721313,0.00344781984384122
"AMIGO2",57.7981296469832,-0.481746093212421,0.131726425963893,-3.65717121441122,0.00025501404961554,0.00140913780030296
"AMOT",73.8138581600737,-0.448520732852242,0.107789888572219,-4.16106500148882,3.16766900758346e-05,0.000251610303426557
"AMT",47.942992416498,-0.390765965541313,0.102616901787638,-3.80800783042532,0.000140090838158314,0.000861306413552292
"ANG",26.2243559293764,-1.70097158459592,0.307229720706815,-5.53648123847736,3.08608880490535e-08,7.85802000285365e-07
"ANKFY1",138.327380584403,-0.22986077855182,0.0584616202826645,-3.93182360393765,8.43039168928368e-05,0.000569596783998939
"ANKH",47.752753172694,-0.414180849370355,0.118341483564467,-3.49987879900734,0.000465469742962713,0.002318990111124
"ANKS1A",283.832128391612,-0.440602356571802,0.0753680310182763,-5.84601124135721,5.03500034519683e-09,1.80730726676513e-07
"ANO4",31.6672457361521,-0.785722564919192,0.210186408375475,-3.73821776104374,0.000185329392350296,0.0010881973183108
"ANO6",302.485321818147,-0.228569889173408,0.0608920876865463,-3.75368784118579,0.000174251842474495,0.00103363553952466
"ANTXR1",190.540626933312,-0.515945367002129,0.126516097886605,-4.07810053914694,4.54051325549584e-05,0.000340845631473721
"ANTXR2",377.183615311969,-0.308411262171018,0.0714433832664683,-4.31686250104801,1.58262674259656e-05,0.000141829342739962
"ANXA4",144.620898673247,-0.382015972333644,0.0947367613431467,-4.03239425664913,5.5211460194233e-05,0.000401815839505086
"AOAH",74.8566778222904,-0.615289961301415,0.194646839007688,-3.16105807028859,0.00157197155797015,0.00617236800331143
"AP2A2",40.7462004549229,-0.466119738068037,0.121860146668261,-3.82503838057041,0.000130751715137964,0.000815559995546727
"AP2M1",191.935965278573,-0.364296041258973,0.0680710350241568,-5.35170415918743,8.71297619400504e-08,1.85649126360904e-06
"APBA1",25.030894934121,-0.695883910665298,0.1671186539927,-4.1640109828535,3.12705062485956e-05,0.000249358881264999
"APBB3",65.9742302881693,-0.35485360025179,0.0788355982182752,-4.50118484887111,6.75757041955038e-06,7.08029624525196e-05
"APC",240.393484560118,-0.301098299627799,0.0641580415659794,-4.69307186252176,2.69132896384977e-06,3.30022355539478e-05
"APH1B",168.701042704862,-0.772598241053446,0.180567298086368,-4.27872737334696,1.87964917200522e-05,0.00016414778164612
"APLP1",69.0170462818007,-0.484222129204633,0.0910628307812146,-5.31745087485819,1.05231082599706e-07,2.17941263916062e-06
"APLP2",442.078481511004,-0.456333553780255,0.0730807653474742,-6.24423610796279,4.25876273874808e-10,2.43407482368705e-08
"APOB",670.234188959805,-1.71870090067405,0.555659496154907,-3.09308292680543,0.00198088773733421,0.00743712489373548
"APOC1",490.453678332172,-1.6754700964361,0.543066693713961,-3.08520134972334,0.00203414395084767,0.00758149873871771
"APOC3",865.877185965119,-1.75775995275329,0.545745969491445,-3.22083909184206,0.00127815888284995,0.00522123982911435
"APOE",3879.58376513271,-0.856008593030743,0.175731839638894,-4.87110699341523,1.10974721326046e-06,1.60810703362236e-05
"APOLD1",25.4837128595379,-0.832791595592079,0.19389253296945,-4.29511948107509,1.74599276121648e-05,0.000154391670658166
"APOM",22.9948788936706,-1.83458388851492,0.554042873985515,-3.31126700595896,0.000928745451840078,0.00405511579742765
"APPL2",63.1547184489853,-0.291882737499771,0.0878504980868306,-3.32249382594595,0.000892166457073426,0.00393977858276934
"AQP9",21.2581399682518,-3.60066443329919,0.877281408006268,-4.10434371507103,4.05464261340679e-05,0.00030907656372489
"ARAP2",463.417143303877,-0.362701055770119,0.119457379580392,-3.03623817167386,0.00239550059062851,0.00865090660388394
"ARAP3",45.0699604619584,-0.713346922763696,0.114665533225345,-6.22111023860849,4.9364915301082e-10,2.67232754904272e-08
"AREG",18.7577059311242,-1.60207582997875,0.499160299002733,-3.20954177080895,0.00132946728108846,0.0053885653570957
"ARHGAP10",124.562136364464,-0.659515810480505,0.122991717992005,-5.36227821879336,8.21788354314491e-08,1.76905121362954e-06
"ARHGAP21",107.503845338205,-0.567080777371302,0.131596297276311,-4.30924569390134,1.63812302922971e-05,0.000146310425085527
"ARHGAP22",23.1240021427988,-0.687819846612305,0.155729856081875,-4.41675003058298,1.00195987458167e-05,9.70396476743996e-05
"ARHGAP29",95.9329959282698,-0.392929234527274,0.0956356117297021,-4.10860794865643,3.98051139694403e-05,0.000304296614656164
"ARHGAP31",111.317467879307,-0.246406142162199,0.0751007101600548,-3.2810094822946,0.00103436266753146,0.00441824988693878
"ARHGAP42",59.4713610543223,-0.504201845414792,0.122620834627531,-4.11187745497198,3.92454605208585e-05,0.000301055183039328
"ARHGAP5",349.213371198566,-0.301660703533376,0.0641898082764223,-4.6995108979657,2.60785306381784e-06,3.22758171476414e-05
"ARHGAP6",39.1253305348992,-0.564251206015798,0.126646663328241,-4.45531837308167,8.37687886421319e-06,8.44473094888168e-05
