"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ITGA5",34.1179843109878,0.861467415689706,0.121077593381924,7.11500279801825,1.11910565749488e-12,1.43245524159345e-08
"GAPDH",1103.51336404175,0.339156399391794,0.0560248836861767,6.05367431535562,1.41578711181584e-09,9.06103751562135e-06
"AGRN",7.14020526006483,1.04803402156035,0.179922977261354,5.82490373110037,5.7145530857228e-09,2.43820931657506e-05
"CSTB",11.4701636379837,0.957813622748428,0.169972284047096,5.6351165021883,1.74940031269005e-08,2.93714260719183e-05
"LIMS2",70.1120557899979,0.915499586583552,0.162242604410814,5.64278162267058,1.67324523540934e-08,2.93714260719183e-05
"LOC107512713",191.799950819049,0.426262596995869,0.0757368557301243,5.62820561913456,1.82093945801761e-08,2.93714260719183e-05
"LOC107519509",416.2303112257,0.37580527852443,0.0667883215520306,5.62681124171782,1.83571412949489e-08,2.93714260719183e-05
"MAP1LC3B",965.372219623992,-0.4006217983177,0.0708509400349914,-5.65443165778526,1.56362797231383e-08,2.93714260719183e-05
"TCIRG1",34.2911993805312,0.721326963369088,0.128689944328729,5.60515405559978,2.08069812978776e-08,2.95921511792038e-05
"GIPC1",34.2831870610543,0.500747939380137,0.0916391393667895,5.46434572432934,4.64617248743251e-08,5.94710078391361e-05
"MGST2",83.1421481027383,0.807722839556086,0.148951422433175,5.4227265934198,5.86967361241481e-08,6.83016565808269e-05
"SIGIRR",33.687062883948,0.766203006286764,0.142042009128576,5.39420000454371,6.88295177162882e-08,7.34181522307074e-05
"ACAP3",4.27555305754706,1.09783642805989,0.20427722821073,5.37424772049175,7.69030714756229e-08,7.57199472990749e-05
"GNPTAB",58.4768888446079,0.585613384861124,0.10952628845767,5.34678380056176,8.95308521832795e-08,8.18567791389984e-05
"ATP2B2",16.0048281693306,1.01709464208989,0.191128053142169,5.32153509319394,1.0289525622997e-07,8.78039519829077e-05
"ADAM15",13.8937200714341,1.27448292521734,0.240605992054146,5.29697084572414,1.1773948468299e-07,8.86509061142514e-05
"FCER1G",8.14484115204835,1.0749520181131,0.202768406428669,5.30137824252838,1.14931688438467e-07,8.86509061142514e-05
"JUND",351.719935911429,0.568710659067903,0.108074233819434,5.26222244626858,1.42324421905319e-07,0.000101208477799338
"CD151",130.925989785285,0.39599347084891,0.075941867734369,5.21442891336337,1.84384392683705e-07,0.000124216854018496
"BLOC1S1",98.874887894209,0.377157078150384,0.0729207637531252,5.17214931301677,2.3141654200582e-07,0.000146738675672673
"FLNA",6.89854102793875,1.14271501256988,0.221252147656148,5.16476348218681,2.40743139775479e-07,0.000146738675672673
"ADIPOR2",104.552935313671,0.350396908382762,0.0680540903276397,5.14880011907896,2.62158061268254e-07,0.000148961242753607
"YIF1B",9.67878283417628,0.690588683211473,0.134227839837368,5.14489903173735,2.67664733072888e-07,0.000148961242753607
"TRAPPC5",71.5698186027053,0.303871800462765,0.059278193653666,5.12619872053021,2.956505523552e-07,0.00015768029458944
"CUNH17orf49",52.6636577616303,0.41907405462195,0.081961588661278,5.11305431564844,3.16991102571188e-07,0.000162299444516448
"TEF",38.5593889769001,0.738800031143552,0.145196177084364,5.08828845207324,3.61309522549996e-07,0.000171287477357035
"UBE2D3",551.315261395383,-0.240200503564877,0.0472053097887402,-5.08842129497413,3.61056568260641e-07,0.000171287477357035
"FTL",3853.70680530732,0.344082181863918,0.0681465085795169,5.0491534934974,4.43772075367957e-07,0.000190083158070949
"LOC107507250",188.351589165423,-0.306456306221469,0.0605914430783952,-5.05774892710454,4.24234466685598e-07,0.000190083158070949
