"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1CF",247.382201332034,0.581463954752929,0.0917784473015318,6.33551745370641,2.36546034192896e-10,2.75253567060824e-07
"ABAT",71.2135586219533,0.554821943874737,0.103598225310601,5.35551590976881,8.53126392613898e-08,1.45600237672772e-05
"ABCB6",30.6254621888652,0.412903298405535,0.0986257032973745,4.18656886187728,2.83203039241575e-05,0.00111245827043288
"ABCC2",24.8012829673314,1.294083202935,0.25071459797041,5.16157899624068,2.44875514773909e-07,3.48267398789559e-05
"ABHD2",601.967812746481,-0.337510985083874,0.0895608844524575,-3.76850884342302,0.000164225668055102,0.00398878282942184
"ACACA",71.5739870214929,0.684574226190911,0.115746928777419,5.91440510276818,3.33077202286198e-09,1.33230880914479e-06
"ACACB",28.5227136930464,0.879370586746783,0.1537014060043,5.72129175397511,1.05717178703894e-08,3.1947024079733e-06
"ACAD11",145.485501468444,0.235439786885503,0.0670391429236711,3.51197489433253,0.000444790014142017,0.00831140464382163
"ACMSD",4.30588313914999,1.10549565262781,0.268053397373722,4.12416206419694,3.72086846667667e-05,0.00134921009556548
"ACSL1",344.722586464233,0.72180797606857,0.102906950535355,7.01418098887874,2.31299824965276e-12,5.92127551911106e-09
"ACSL4",782.024681371914,-0.367451745525255,0.0892487608951844,-4.11716355319261,3.83563881320143e-05,0.00137524304787054
"ACSS2",136.872689106797,-0.415012208809824,0.113394141724078,-3.6599087263227,0.000252305102929825,0.00543687763889185
"ACTR1A",30.2916232609422,0.284374123665326,0.0771313747464825,3.68688000959421,0.000227020333827984,0.00506247434320244
"ACVR1B",112.715268922084,-0.673845015292706,0.16808748163219,-4.00889470619363,6.10036076510804e-05,0.00192326644811288
"ACVR1C",30.6953781686964,-1.03125140556813,0.22669875171127,-4.54899463620144,5.39028168168314e-06,0.000325450969460114
"ACYP2",33.0953805660748,0.400640326128199,0.0850008045370379,4.7133709887843,2.43652009278714e-06,0.000178214041072431
"ADAMTS1",39.0476467265831,-0.542813308302215,0.150468428539037,-3.60748971443793,0.000309173790201841,0.0063116818414411
"ADAMTS12",9.75407894715846,-0.692231999967129,0.168051379237679,-4.11916881079618,3.80241513010011e-05,0.00136838482810391
"ADAMTS2",14.3805847265157,-0.684427463941997,0.171524293814402,-3.9902654529077,6.59993872026989e-05,0.00202103386649413
"ADAMTS9",12.2272018965557,-0.735946492009865,0.1498428883873,-4.91145425672562,9.04033791294123e-07,8.45680995612938e-05
"ADGRL4",40.697640942918,-0.447178167667609,0.0881068493256475,-5.07540754311638,3.86666338673265e-07,4.94932913501779e-05
"ADH4",615.767375273263,-1.24253666789894,0.259549793523975,-4.787276657125,1.6905971102079e-06,0.000135377019722928
"AEBP1",13.1507437146714,-0.761760144974563,0.187118755241192,-4.07099835605828,4.6812079866953e-05,0.00158098844933245
"AGFG1",67.5050736094172,0.233751455663803,0.0528614849781952,4.4219615805387,9.78088511986236e-06,0.000490962076604856
"AGMO",44.9487986664058,0.849618098985838,0.177505473283679,4.78643324776824,1.69771368715039e-06,0.000135377019722928
"AGPAT3",24.5752359645236,0.525582507050292,0.0924150031260327,5.68719893168773,1.29139993870031e-08,3.673315381192e-06
"AGTR1",721.541204984841,-0.830476316758945,0.156018041962795,-5.32295051463975,1.02097526495268e-07,1.65423840397396e-05
"AK3",112.511478565519,0.506202798887034,0.0835241409334265,6.06055678310426,1.35651150881471e-09,7.5492814403601e-07
"AKAP5",4.06723515351216,0.943851387892067,0.267927669563037,3.52278430007395,0.000427038757128032,0.00807399718055955
"AKAP7",16.447137526509,-0.405726829301812,0.11139650535597,-3.64218633255417,0.000270332276713425,0.00574665986871803
"AKIP1",23.3791253711676,0.331710560246994,0.0956769788675525,3.46698405586351,0.000526333109300801,0.009435663584104
"AKR1A1",790.986266461452,0.332222339247649,0.090943711455229,3.65305455354326,0.000259139148214846,0.0055467911323579
"ALAS2",49.9673206670713,-0.765145168495041,0.186341173456285,-4.10615192715067,4.02304931597622e-05,0.00142251467526231
"ALDH1L1",1510.64207238797,0.556349689962861,0.0835078196792268,6.66224662672228,2.69672982915156e-11,3.83534909034889e-08
"ALDH6A1",125.032188859494,0.490118322311828,0.0889906548417537,5.50752574170146,3.63912210558812e-08,7.51302628250451e-06
"ALG11",27.7764401292659,0.360185084450409,0.0941580115509561,3.82532594430889,0.000130599179353597,0.00332827989138094
"ALG3",18.6883921102893,0.361985921658267,0.0929989063178548,3.89236751259267,9.92707131962166e-05,0.0027586540523266
"ALKBH5",116.760962394868,-0.359041584277983,0.0664530837452518,-5.40293337859791,6.55598143419936e-08,1.24251601758868e-05
"ALPL",56.5002284310957,0.887073781330387,0.160506747691682,5.52670709541987,3.26297041311434e-08,6.96100354797727e-06
"ALYREF",89.5370917365805,-0.28440464740342,0.0790987833379193,-3.5955628569963,0.000323690957045929,0.00653508556811971
"AMD1",168.764204346973,-0.425056703582332,0.0878493512103976,-4.83847288256379,1.30840543124964e-06,0.000115500617379279
"ANAPC1",42.9246634043844,0.830986792213148,0.229774598884516,3.61653027030546,0.000298578415890088,0.00616419955385989
"ANAPC5",72.1065053291169,-0.590138087364766,0.165683720073863,-3.56183508616102,0.000368271694131276,0.0072704527899111
"ANGPTL4",33.4047416427596,0.750376624040732,0.201203486588583,3.72944145632569,0.000191904685284984,0.00441001790241974
"ANKRD29",57.6844056729052,1.22004078628193,0.282626194641902,4.31680010349984,1.58307400428296e-05,0.000716019337626215
"AP3S2",24.3402678446574,0.289665892883759,0.0716733796099406,4.04147110768562,5.31169263331613e-05,0.00173886613059965
"APBA1",87.045230903063,-0.487386314983601,0.133278964458649,-3.65688851922927,0.000255295343356745,0.00548285301168849
"APOA1",1224.90721959313,-0.631773215996146,0.150326482250187,-4.20267411662499,2.63780208036477e-05,0.00107186878186251
"APOC1",10970.9252910446,0.301812386140835,0.0565455292146925,5.33751103460208,9.42311696924381e-08,1.56644022345871e-05
"APOC2",1604.44335340786,0.45922880013899,0.0916066024037784,5.01305351457996,5.3572989288888e-07,6.01521283243654e-05
"APOC3",23680.4004959946,0.3058792664971,0.0722513786172893,4.23354228460223,2.30038905466495e-05,0.000956005840899719
"APOLD1",11.5959915132989,-0.891703108855014,0.198924489135378,-4.48262108265697,7.37317820536118e-06,0.00040855706072997
"APOOL",67.240657192894,0.396290337058947,0.0935203100363242,4.23747886320121,2.26043691979235e-05,0.00094864237945384
"ARAP2",138.030314784072,-0.700095427910051,0.201539993055781,-3.47372954268329,0.000513278120188428,0.0092927297573011
"ARFRP1",43.7103636711351,-0.56183371522791,0.146476533895204,-3.83565681332868,0.000125229173327144,0.00324480449106769
"ARHGEF10L",129.675277528136,-0.495570388545831,0.130743442078441,-3.79040340890297,0.000150402812892089,0.00374543969848003
"ARHGEF40",14.4416785114595,-0.529491986620065,0.122511881227729,-4.32196437858812,1.54646160346186e-05,0.00070695387586828
"ARL10",8.55241768178008,-0.722905939785506,0.173583002831191,-4.16461247930209,3.11881842222234e-05,0.00118812130370375
"ARL5A",238.423470039781,-0.43906299341543,0.109214260814895,-4.02019837097639,5.81491569143162e-05,0.00185151544403793
"ARL6IP5",127.040668568725,0.181527557457023,0.0511955666242675,3.54576713232383,0.000391471982469778,0.00755783012912996
"ARL9",7.73904990739103,-0.89153822030529,0.214453850883656,-4.15724976087727,3.22101787079138e-05,0.00121261849253322
"ARPC1A",122.94849177804,-0.265216567928712,0.0714791534133978,-3.71040443630941,0.000206928399686474,0.00469624736877105
"ARRDC4",62.428735824507,-0.958975049564483,0.229994857181033,-4.16954996871802,3.05201697415438e-05,0.00116963524758012
"ARSK",38.9843914087622,0.547052041627764,0.099390079552661,5.50409099268215,3.71077867016033e-08,7.53935983778607e-06
"ASGR2",334.920201413429,0.281254849106851,0.0787556792786742,3.57123259786307,0.000355305180350016,0.00704010264470621
"ASNS",11.2531034866947,0.55557521056376,0.15931569465349,3.48725975662429,0.00048799713728262,0.00893754415132405
"ASPA",688.276418708061,-0.665146743536701,0.157454511619941,-4.2243739902621,2.39605869849227e-05,0.000986159207096498
"ATN1",43.187983415473,-0.296475924057947,0.072406917826934,-4.09458008924755,4.22934201248462e-05,0.00148724114724734
"ATP13A3",110.625780214423,-0.420999154139757,0.103463825643187,-4.06904685306773,4.72058548016951e-05,0.00158591848152676
"ATP1B3",330.089928515971,-0.568559451167843,0.131746712836608,-4.31554942758206,1.59206422228299e-05,0.000717550072014868
"ATP5F1C",260.072196492219,0.193566787893708,0.0535227151520617,3.61653528494904,0.000298572634341262,0.00616419955385989
"ATP5IF1",702.180430390597,0.173740370977263,0.046543719704001,3.73284241315866,0.000189331056456386,0.00438723696571702
"ATP5MC2",618.776955861783,0.160044826503478,0.0334717082888064,4.78149561780806,1.73995797061571e-06,0.000135801597706592
"ATP5MG",499.501362619653,0.14674420476292,0.0417809030047195,3.51223152707697,0.00044436070574749,0.00831140464382163
"ATP5PB",748.42935728366,0.202347630898017,0.0468698161172732,4.31722689911397,1.58001716513114e-05,0.000716019337626215
"ATP6V1E1",186.505427562796,0.262445744085793,0.051877698643672,5.05893189072307,4.2161141180455e-07,5.13964387723642e-05
"ATPAF2",16.1556864456016,0.377159431975665,0.092460388423441,4.07914609063058,4.52014260357128e-05,0.00154700067715809
"ATRAID",49.961844434909,0.317088013550575,0.0769824954003642,4.11896252390222,3.80582030316399e-05,0.00136838482810391
"AZIN1",167.830297953233,-0.332689325750046,0.0833871152562599,-3.98969702606508,6.61577457266701e-05,0.00202104807947823
"BACH2",18.0513439112314,0.791270319285165,0.209390168180522,3.77892776036641,0.000157505104624702,0.00386138217095329
"BANF1",121.617038998451,0.331159306606364,0.0548953269015446,6.03255915025886,1.61383241549769e-09,8.60710621598769e-07
"BASP1",38.7205382070573,-1.18917061740077,0.332828106867162,-3.57292726444942,0.000353012838737122,0.00702049906993894
"BAZ1A",305.140466421328,-0.478877748254641,0.107916890955952,-4.43746798126441,9.10232564187988e-06,0.000467910715727159
"BCL6",683.11108241855,-0.315638249556026,0.0684524611484265,-4.61105772181986,4.00625266167102e-06,0.00025899007105752
"BCL7B",59.0680036927098,-0.277404676043975,0.0681072013981129,-4.07305938798509,4.6399586886493e-05,0.00157956040464657
"BEND5",3.38608427207729,1.58787576236091,0.288767513119661,5.49880332869341,3.82377322298641e-08,7.64754644597283e-06
"BLVRA",78.9886600584096,0.31654705165846,0.0777876069019926,4.06937639895889,4.71391392564775e-05,0.00158591848152676
"BLVRB",628.250570450405,0.279198398737774,0.0559922527999245,4.98637552118908,6.15225128202893e-07,6.50816664545209e-05
"BMP4",11.9606579383727,-0.531266337536457,0.148044006597112,-3.58857038354986,0.000332496234233725,0.00669174811036428
"BRD2",289.012618521832,-0.262786402783271,0.0674750235580326,-3.89457296828149,9.83718768595443e-05,0.00274326802571278
"BRMS1L",41.9272532443462,-0.424562285127218,0.0789447563768676,-5.37796687978155,7.53316696859339e-08,1.33922968330549e-05
"BTBD8",18.4785233909963,0.470218035511329,0.132779047333045,3.541357201727,0.000398074267638691,0.00765394401309175
"CA8",4.89752289276961,1.55251795336456,0.273520100924587,5.67606529873507,1.37828183866809e-08,3.8352190293373e-06
"CANX",753.868412559758,0.155307501567189,0.0348986107466022,4.45024882780787,8.57708541631353e-06,0.000452818675481544
"CASTOR2",8.76367573842254,-0.679934642848501,0.140228218528007,-4.84877188048068,1.24228180052834e-06,0.000110425048935853
"CCL16",118.89201642377,0.510857800008801,0.099244028708364,5.14749155850973,2.63992880503302e-07,3.67294442439376e-05
"CCNG1",389.922961999432,0.508124846980048,0.110468401597615,4.5997302362617,4.23038406935397e-06,0.000269397592476273
"CCT4",155.231497768896,0.199744900278909,0.0435400023605356,4.58761803972607,4.48331942843453e-06,0.000279934091141278
"CCT8",334.832403504447,0.131182068815334,0.0357254905799891,3.67194590432897,0.00024071064164222,0.00522689687188099
"CCZ1",248.603057691401,-0.674800238462481,0.17263802057072,-3.90875796786638,9.27718494438637e-05,0.00262716741787933
"CD52",24.9084389459851,0.942096486361909,0.234653169419906,4.01484662956353,5.94844629158221e-05,0.00188000277857413
"CD55",81.202412787712,-0.870467936960169,0.245429629196515,-3.54671088331877,0.000390072411301333,0.00754218559615871
"CD79B",12.8038260250978,1.35145797574531,0.351750009725605,3.84209790583819,0.000121987154755515,0.00319966307555449
"CD9",606.269838693278,-0.292430022096851,0.0796439642270356,-3.67171605450529,0.000240927277688264,0.00522689687188099
"CDC37",16.4793817161762,0.474735274923898,0.126370496625782,3.75669390878252,0.000172172872879731,0.00413473315733688
"CDC42BPG",13.9853446765872,-0.560243131139162,0.1238987449756,-4.52178213144528,6.13211578644455e-06,0.000361298629939853
"CDH2",65.5392993425365,0.450809505265244,0.130067007838893,3.46597890391725,0.000528304730573343,0.00943655250631249
"CDH5",85.222336303069,-0.423436521642594,0.0885000603583697,-4.7845902017235,1.71336540586831e-06,0.000135377019722928
"CDIP1",26.2144463301511,0.622855544523199,0.149462991151982,4.16728943882733,3.08243013496986e-05,0.00117776435007804
"CEBPZOS",9.20020579792413,0.513328601343468,0.146570593010157,3.50226188487821,0.000461325931312123,0.00855793031999301
"CEMIP2",63.1384594130925,-0.351794497207286,0.089301696172849,-3.93939322861646,8.16879462770087e-05,0.00238722765375733
"CENPB",43.2951538966605,-0.263798517341087,0.0730977347475938,-3.60884667974982,0.000307561304669625,0.00629511981918417
"CEP170B",32.898938916895,-0.363299940220867,0.0935971709904755,-3.88152693480272,0.000103802652472205,0.00283904690522269
"CEP57L1",69.8627594869703,-0.224171409397649,0.0601038453970164,-3.72973489328151,0.000191681341368295,0.00441001790241974
"CERS2",246.982576510919,0.278013187225772,0.0707151489067144,3.93145162704133,8.44344867758719e-05,0.00245070619213415
"CERS4",21.0957472507856,-1.1059755061088,0.217620487137741,-5.08212953961816,3.73226730979962e-07,4.82555773388234e-05
"CFL2",335.700987384392,-0.720587232198088,0.143899237678629,-5.00758199850496,5.51180727167125e-07,6.03164574700011e-05
"CH25H",10.7815626029086,-1.20382236879946,0.342387709334145,-3.51596256518841,0.000438162759460445,0.0082356583275972
"CHAC1",7.61907279820466,1.2231275512993,0.350843419133712,3.48624909174411,0.000489844658033026,0.00894666617139274
"CHAMP1",177.139320920734,-0.418791235691222,0.0936876818702332,-4.47007789424537,7.81911150717742e-06,0.000429547756617472
"CHCHD10",1295.59131686922,0.43514075424719,0.0643878236439341,6.75812179416914,1.3979200016205e-11,2.23667200259279e-08
"CHCHD6",8.60923342392768,0.582684839914178,0.15604143327364,3.73416744315825,0.00018833716726003,0.00438723696571702
"CHD2",192.521990814852,-0.230742766985847,0.0662410184939563,-3.48338193210148,0.000495121458994074,0.00902785566257001
"CHD4",342.29972518493,-0.309410303646726,0.0593781208630364,-5.21084701148462,1.87980420467678e-07,2.73426066134805e-05
"CHMP1B",52.0353783094679,-0.322911082987775,0.0698192727521631,-4.62495626578652,3.74677448968993e-06,0.000247209863237274
"CHSY1",72.2452109868983,-0.597455100859586,0.155419461601919,-3.84414599498401,0.000120972974755169,0.00319268881828076
"CISD1",107.9078552796,0.508456658321953,0.0845719620610829,6.01211850748733,1.8311437657016e-09,9.37545608039222e-07
"CITED2",600.385697690278,0.422897708207437,0.0870797378141375,4.85644213938801,1.19513682443901e-06,0.000106977282187548
"CLASP2",30.7065672418867,0.275709637211053,0.0755429061540333,3.64970916857337,0.000262537385000681,0.00561014779300286
"CLDN5",14.5389036072301,-0.679840639433932,0.166425386385057,-4.08495755485878,4.40848744620022e-05,0.00152509835976656
"CLK1",383.776239921231,-0.253684107998096,0.0553319078045279,-4.58477066965215,4.54484989420058e-06,0.000282398440027997
"CLN5",41.5199132487025,0.427485859810248,0.0843217928851725,5.069696043968,3.98451526894934e-07,4.96447370718409e-05
"CLTB",85.0106760325045,0.31533998099788,0.0914152159849829,3.44953493354632,0.000561553068366809,0.00987346054271312
"CNTF",141.110743402696,-0.167447215837555,0.0480174240032889,-3.48721780298097,0.000488073700138712,0.00893754415132405
"COL14A1",328.102983924173,-0.922660171850239,0.246452010354232,-3.74377214665069,0.000181278055862127,0.00427383068373044
"COL4A1",105.621379213282,-0.513930415478314,0.127344563513666,-4.03574680613012,5.44288889794189e-05,0.00176377159224446
"COL4A2",55.3454313699058,-0.321069599420634,0.092638547698232,-3.46583152907913,0.000528594386486411,0.00943655250631249
"COMMD4",24.9347477195897,0.400764361966693,0.0954051729216475,4.20065652305693,2.66142096776139e-05,0.00107804393630841
"CPN2",398.448141278259,-0.558548530756989,0.106690821882447,-5.2352069362855,1.64800118801335e-07,2.45283897750824e-05
"CPNE8",35.0146759113828,-0.696303767165763,0.154881047493066,-4.49573255370019,6.93308363480328e-06,0.00039094039879067
"CPOX",50.5853775609708,0.290521223150187,0.0723044868644684,4.01802482458325,5.86880155616076e-05,0.00186301023301305
"CRYBG3",49.5574216634111,0.330770296940444,0.0624562785460564,5.29602955284196,1.18347692945537e-07,1.89356308712859e-05
"CTC1",14.0576036024682,0.381204466797649,0.100653096123543,3.78730989387304,0.000152287119458349,0.00376457868498048
"CTH",71.6784152448344,0.714492361150625,0.114301788817467,6.25092895345344,4.08018465667807e-10,4.23647681994092e-07
"CUNH11orf86",244.368292996246,-0.730211044416483,0.174458287011502,-4.1855910482965,2.8442502932122e-05,0.00111334568052343
"CUNH11orf96",229.136832403351,-1.08483166100213,0.236252315626946,-4.59183503926004,4.39365599035952e-06,0.000275680375865695
"CUNH12orf45",75.7468179934431,0.389231822494924,0.112939055765862,3.44638814142253,0.000568133712264949,0.00996179659861829
"CUNH18orf25",111.524648213384,-0.606575555277958,0.150218986923688,-4.0379419918875,5.39221821472246e-05,0.00175178662813319
"CUNH3orf85",357.530107857211,1.10447617740533,0.146427760141486,7.54280592927274,4.59965420381746e-14,1.96251912696212e-10
"CUNH6orf89",61.0914585867436,0.420322739385776,0.0910709937415938,4.6153305472696,3.92470155671638e-06,0.000256307040438621
"CXXC1",62.6778767896008,-0.350437627677516,0.0898737607962166,-3.89922069103253,9.65027869883628e-05,0.00270885016107685
"DBT",19.5201239839528,0.420654250320952,0.117373799157989,3.5838854440993,0.000338520601405277,0.00679805317216276
"DCBLD2",98.8656632981589,0.413306081601203,0.0984487429396479,4.19818546443577,2.69062236777195e-05,0.00108374034780885
"DDX3X",528.747234047435,-0.150832251415315,0.0354565891680395,-4.25399777458783,2.0998738826749e-05,0.000890012771464857
"DEDD2",53.7419219700687,-0.209368499275378,0.0551362620825548,-3.79729222416081,0.00014628530170198,0.00367868735124821
"DENND2D",130.931607515299,-0.357858508982295,0.0774526867988251,-4.62034983901582,3.83093527205444e-06,0.000251466520422035
"DESI1",65.5877729690094,-0.471606488911218,0.117958059326337,-3.9980861977942,6.38566982141851e-05,0.00198831890214744
"DHRS11",54.0974889735123,0.367919043397657,0.0874566957605625,4.20687107142648,2.58930763389007e-05,0.00105551393992971
"DIP2C",70.694363015941,-0.327004574095117,0.0679792530356342,-4.81035844750609,1.50659868239726e-06,0.000125223786588863
"DLAT",23.7323239832655,0.31152501210957,0.0749128355779776,4.15849980455353,3.20344506977045e-05,0.0012095603803263
"DLG5",16.9454921320693,-0.54790944186823,0.1423580289563,-3.8488130657978,0.000118691537321203,0.0031389497473376
"DLL4",14.8623900323884,-0.697271907922101,0.125676966472178,-5.5481280897758,2.88744312775733e-08,6.7198676427807e-06
"DNAH12",10.0576487197642,0.689571195456847,0.164959024242878,4.18025748286164,2.91179204229588e-05,0.00113285526265615
"DNAJC9",27.3749839041311,-0.513312479573669,0.104578209644553,-4.9084076053544,9.1818868408768e-07,8.51653272197269e-05
"DOC2B",138.433259937653,-0.815505623904318,0.202825456300944,-4.02072618879903,5.80190109241489e-05,0.00185151544403793
"DPH6",5.34674351900547,0.840546263628368,0.151872047316845,5.53456859559393,3.11995312143122e-08,6.88541378522751e-06
"DRAM1",28.935922236679,-0.959628486126509,0.25528579859756,-3.75903591738487,0.000170569352401685,0.00410392426831122
"DTD1",41.8826709378771,0.316795093825639,0.0745834821686152,4.24752350807974,2.16146491179283e-05,0.000910090489175927
"DTD2",9.04561430948123,0.500666846078574,0.142355198542916,3.51702537879315,0.000436412053225395,0.00821481511953685
"DTNB",169.31729154721,-0.570961940110417,0.156779458644576,-3.64181599456091,0.000270721554752888,0.00574665986871803
"DUSP22",257.294971799919,-0.372465642939733,0.0903296524944213,-4.12340391725448,3.73314222313528e-05,0.00134983673604891
"DYNC1I2",180.145918701897,-0.252813783653136,0.0553603942572414,-4.56669044801947,4.95484871515096e-06,0.000303454849540346
"DYNLT3",70.6743209737698,0.244245636469129,0.0619154571937062,3.94482488766888,7.98583149077052e-05,0.00235369252930506
"DYRK2",30.8583494160657,0.630936123446273,0.113412483607637,5.56319818926692,2.64874775742581e-08,6.51999447981738e-06
"ECI2",34.2387726860888,0.385959266209563,0.0823990089157236,4.6840280154864,2.81291535972579e-06,0.00019892440112978
"EGLN1",440.856670948924,-0.482492992952731,0.105985770995292,-4.55243178798182,5.302935729499e-06,0.000321694679325058
