"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC107508183",193.909753455018,4.16677875132968,0.372141577561292,11.1967568328035,4.22934430171172e-29,5.62079857697488e-25
"LOC107502042",86.9446330543712,3.9673433460699,0.366266415772794,10.8318512842601,2.43188191723325e-27,1.61598553400149e-23
"EGLN1",189.504752693843,1.76604840311296,0.163983994509023,10.7696388809201,4.78875746326246e-27,2.12141955622527e-23
"LOC107505201",59.121216807265,2.22024377538532,0.214647442092999,10.3436768392673,4.4704886294371e-25,1.48531984713048e-21
"LOC107508184",146.22425369537,4.05021261614561,0.394202819193075,10.2744384843221,9.18778946088581e-25,2.44211443870345e-21
"NVL",184.47910731569,-0.926671893097033,0.0930369512258729,-9.96025644528356,2.27475190402898e-23,5.0385754674242e-20
"LOC107502043",117.38392256843,4.2664529868127,0.42901728680842,9.94471112936274,2.65944484708286e-23,5.04914600253303e-20
"LOC107502038",105.958410181784,3.09377461546876,0.316901448767893,9.76257643345369,1.6296164516808e-22,2.70720033035474e-19
"AHCTF1",272.735417555942,0.693327651879167,0.072086920913262,9.61793960812125,6.71629654518996e-22,9.91773123173051e-19
"LOC107506221",76.9094965644014,3.66339561136204,0.381662633625052,9.59851787576613,8.11022096081269e-22,1.07784836569201e-18
"TXLNG",146.608034063631,-0.599355409314618,0.0641858882106381,-9.33780658059479,9.83503837103825e-21,1.18825145410089e-17
"LOC107504733",43.5175736186602,3.58545623368344,0.389337554266052,9.20911993820491,3.28809626580673e-20,3.64156661438095e-17
"LOC107508521",11.0843347001141,3.34344780718254,0.374901499286697,8.91820335086396,4.73913626803841e-19,4.84485546171003e-16
"LOC107507052",38.8512112331048,4.77876326486207,0.540636869311654,8.83913683309548,9.64609230152701e-19,9.156897620521e-16
"PYCR2",23.2383557999997,-1.0697270978345,0.124960131635436,-8.56054714279089,1.12333124359289e-17,9.95271481823302e-15
"LOC107505199",42.3805266355769,4.80940315912957,0.567586210196682,8.47343200509222,2.38266940434012e-17,1.97910477398001e-14
"EIF2S3",293.786851122364,-0.545263273584463,0.0654145071769199,-8.33550992151856,7.71649055893099e-17,6.03247997224664e-14
"SH3YL1",9.21837267108396,2.38244801016734,0.290103879333583,8.21239624799303,2.16817382555824e-16,1.6008350078705e-13
"EXOC8",38.4533102300647,-0.782185309974156,0.0960669606866826,-8.14208448339709,3.88529982476422e-16,2.71766498269034e-13
"USP9X",330.985866511669,-0.426067249578042,0.053517839473223,-7.96121917050145,1.70352329927355e-15,1.13199123236727e-12
"DDX3X",855.963750588633,-0.383630512430034,0.0484873285215725,-7.91197461537509,2.53338057910481e-15,1.60326799506204e-12
