"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",67.6250638859422,3.17767244758896,0.642981734150439,4.94208820999802,7.72902296574362e-07,0.000140174419287056
"ADAD1",16.9412490983204,2.78860653268153,0.609170444215247,4.57771147494507,4.70090462839317e-06,0.000601807967034882
"AGT",38.5057731657603,2.5462421279983,0.62586306197463,4.06836939691692,4.73432850013299e-05,0.00401434165939848
"AGXT",8.4976895586161,3.07480516227844,0.64880073641477,4.73921342825475,2.14549429102101e-06,0.000312850388951276
"AHSG",391.195173994994,3.17861957306563,0.587389356482562,5.41143542692026,6.25215397603792e-08,1.73703460891709e-05
"ALB",11565.3080664736,4.06859390511366,0.638358835283791,6.37352172513585,1.84736093640758e-10,3.37879976810783e-07
"ALDH1L1",88.5499038615827,3.7969801547534,0.672904495707138,5.6426731861306,1.67429978417391e-08,6.24657330906942e-06
"ALDOB",3163.91703761232,3.54842656571402,0.599919836512985,5.91483453245877,3.32209382662399e-09,1.94053015094425e-06
"APOA1",38.048887226527,3.15485878034023,0.666403738904005,4.73415528179484,2.19969276871675e-06,0.000312850388951276
"APOA4",871.002871124598,3.70557130417873,0.608169813132995,6.0929878862113,1.10822451537999e-09,9.64746381455457e-07
"APOB",670.234188959805,3.2577170405179,0.58970493358131,5.52431708640049,3.30769626275701e-08,1.1074845589508e-05
"APOC1",490.453678332172,3.17255446238418,0.576613047878148,5.50205111392938,3.75398077990827e-08,1.22548702560105e-05
"APOC2",98.2835822944013,3.64594970049212,0.686543726681145,5.31058628722337,1.0927313230533e-07,2.74401646469807e-05
"APOC3",865.877185965119,3.10695766102038,0.57929611133307,5.36333249997256,8.17004129011676e-08,2.17723263604785e-05
"APOH",347.443057331194,3.61205954703897,0.612881936649161,5.89356502622243,3.77951269286259e-09,2.01735502797542e-06
"AQP9",21.2581399682518,4.81280549576133,0.914077737925993,5.26520370869265,1.4003399491781e-07,3.32466164661231e-05
"ARG1",63.8389097375452,2.52012980908538,0.548376564501769,4.59561909137211,4.31466273715445e-06,0.000569099656785483
"BCAT2",70.4308244095714,4.3169310970723,0.6826196049468,6.32406550557354,2.54769638982044e-10,3.37879976810783e-07
"BHMT2",35.7665864789205,3.45320171783015,0.633428851899226,5.45160156105351,4.99181998053965e-08,1.55198060252111e-05
"C4BPA",43.3456712616734,3.75011071220071,0.638403837687371,5.87419825949911,4.24894625501927e-09,2.13395154607853e-06
"C5",39.8358263163675,2.43870440641941,0.630854140185575,3.86571831913797,0.000110762716770186,0.00767518707502705
"C8A",32.2624313652495,3.82648776776643,0.904002504857053,4.23282872249508,2.30770253244748e-05,0.00241071837349593
"C8B",44.3772610602165,3.82713875036064,0.671438177670158,5.69991233391068,1.19869054357393e-08,4.74382066397964e-06
"C8G",26.1620302656489,2.52635023318611,0.572702535377205,4.41127824154325,1.02762164625461e-05,0.00118749411122059
"C9",164.059230276608,3.64580939121113,0.625406298211315,5.82950539775227,5.55918988639706e-09,2.67295017021159e-06
"CAT",222.165094456193,3.09254092404429,0.593759033035771,5.20841073900425,1.9046493768117e-07,4.36331781796616e-05
"CFB",62.199460989015,1.75681760531964,0.43986980413011,3.993949093173,6.49818211046592e-05,0.00502090307683219
"CPB2",83.320409129949,3.42367864517083,0.680930568500234,5.0279408849445,4.95774650638004e-07,9.52540952524062e-05
"CPS1",86.8755798889712,3.05832068590052,0.608616472147271,5.02503764827528,5.03333785603923e-07,9.52540952524062e-05
"CUNH2orf88",8.17072001819724,1.15898480611457,0.268557342253489,4.3155953078379,1.59173356364043e-05,0.00174662662806864
"CUNH3orf85",25.2187333632778,3.48423365971127,0.841456144298501,4.1407192559227,3.46218494461247e-05,0.00316148328718529
"DMGDH",37.2604300402384,2.56963616522608,0.593640691071139,4.32860517123505,1.50056671310783e-05,0.00167473505468052
"EPB42",10.5482154938134,-2.02595806024369,0.484850070861468,-4.17852483066367,2.93405967661849e-05,0.00279656578520323
"ERICH5",25.6063756442458,3.35444354107996,0.767312878331563,4.37167632110363,1.23296220236487e-05,0.00138793279642073
"F10",43.6794486714446,3.56047399345024,0.699131772152817,5.09270803483379,3.52985059032963e-07,7.31631571563878e-05
"F2",143.271564750598,2.5187529888049,0.475293583394143,5.29936249258428,1.16207716380189e-07,2.86309501979718e-05
"F9",28.8048861973363,4.23265293897961,0.905076610196656,4.67656869185906,2.91714912034043e-06,0.000400969823299004
"FETUB",55.088669343604,5.08208699411541,0.80155917931089,6.34025175593964,2.29390008300823e-10,3.37879976810783e-07
"FGA",333.459163064208,2.58879888383511,0.533452227773103,4.85291606081027,1.21659193095626e-06,0.000193734846761303
"FGB",829.795610492124,2.66347524109078,0.538047747422563,4.95025813944907,7.41151106744985e-07,0.000136309171153183
"FGG",698.166735428413,2.8679864416324,0.541582097384168,5.29557098634672,1.18645091895572e-07,2.86901409254144e-05
"FGL1",154.887357219508,3.30271206364672,0.612328947374737,5.39368925445478,6.90255502405279e-08,1.87778257300169e-05
"G6PC",111.202938179711,4.13245407083174,0.762085780239835,5.42255764112437,5.87522599305331e-08,1.66779784820196e-05
"GC",314.2959927596,3.96128692781067,0.652289037785649,6.07290127281336,1.25619692846943e-09,1.02521371824711e-06
"GHRL",8.68080635354849,1.58294545752109,0.408328373405507,3.87664820918307,0.000105905309306637,0.00743500822003261
"GNLY",282.177689971263,1.77883648228886,0.352057363064605,5.05268933109183,4.35632169368283e-07,8.75151518094007e-05
"GPT",4.56221573655204,2.25042590353918,0.48915226829338,4.60066537438489,4.21143511064469e-06,0.000561152241579575
"GYPA",18.0643583178685,-1.99749559160876,0.407714658216143,-4.89924890203437,9.62037100105417e-07,0.000163146499391903
"GYS2",11.9290361466737,2.56520008218859,0.626312237928799,4.09572083514071,4.20856829398514e-05,0.00368828756931933
"HABP2",21.431267800814,5.07441796200051,1.00279082026696,5.06029558652086,4.18607023368476e-07,8.54089142366494e-05
"HAO1",76.4156717352499,3.79762899968591,0.613396226349778,6.1911515535154,5.97262476484831e-10,5.99927185995302e-07
"HEMGN",37.1060097193307,-1.62441958560443,0.329354583337568,-4.93212989217612,8.13377966925552e-07,0.00014249522189732
"HOGA1",16.6520536389459,3.98944481062034,0.80906718289949,4.9309190818038,8.18436333458339e-07,0.00014249522189732
"HPD",101.566686305084,3.45156057444297,0.612447161581903,5.6356871105874,1.7436170909127e-08,6.324486659205e-06
"HPN",29.3930557107123,1.74027992054384,0.426840133197836,4.07712345956287,4.55962853047635e-05,0.00389147904254642
"HPX",814.159612887347,3.18440021645757,0.587076352366848,5.42416706722966,5.82254048097723e-08,1.66779784820196e-05
"HRG",264.387355817437,3.52553075573686,0.619062185076812,5.69495414309537,1.23405084571756e-08,4.74382066397964e-06
"HSD11B1",46.1169761570435,2.61796528737718,0.616102299400701,4.24923797545269,2.14498949794964e-05,0.00225881232776019
"IGFBP1",205.861561272792,3.08193535787058,0.597979608691651,5.15391380086304,2.55105242128183e-07,5.60651122954329e-05
