"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ANKRD11",2848.88601030806,0.0999650712759758,0.0227355102342914,4.39686948943865,1.09823333824811e-05,0.00107376862811153
"AOPEP",153.627396532157,0.202790618653202,0.0517742215187857,3.91682603242275,8.9722446725982e-05,0.00674376340204162
"ARAP2",463.417143303877,0.352121536050423,0.0408255374681878,8.62503123993907,6.40751611994803e-18,1.10081126940707e-14
"ARHGAP45",86.8018896188313,0.273442253449541,0.0410133143601879,6.66715815864358,2.60804000037618e-11,7.29402070802882e-09
"ARID4A",603.619548511201,0.0935754155638374,0.0233312890024804,4.01072634923381,6.0532237117963e-05,0.00482093167934188
"ARIH1",120.560855263026,0.13592210153215,0.0290962391419945,4.67146633174232,2.9905712341861e-06,0.000345813554445404
"ARMC1",140.984834681857,0.250307958374211,0.0294812677335472,8.49040687925985,2.05914894107389e-17,3.09541564566932e-14
"ARPC1A",323.120880960617,0.215905597018551,0.0259592076450521,8.31711044384296,9.01337552975243e-17,1.08394854120803e-13
"ATP1B3",518.245864559152,0.16460945556602,0.0314639169694258,5.23168986639442,1.67967388576956e-07,2.24441757225164e-05
"C1QL3",13.0683768946947,0.415826998130582,0.0757646948729092,5.48840061757138,4.05589359827057e-08,6.17419954592429e-06
"CACNB1",175.365874771915,0.519874536970786,0.0758002155582345,6.8584836222713,6.9595308468707e-12,2.26203562066127e-09
"CD3E",95.268407748951,0.181640568208286,0.046957734576864,3.86817144917761,0.000109654556935749,0.0078964413276007
"CDK12",380.876886865825,0.12457880185003,0.0225761681914528,5.51815528629854,3.42576659475033e-08,5.42082487742992e-06
"CHMP1A",102.361953387069,0.163007821540972,0.03709114709839,4.39479051722418,1.10879626449896e-05,0.00107442288240076
"COL14A1",997.996618038738,0.571607544160929,0.0580866873823227,9.84059463399327,7.52646596935712e-23,4.52566398737443e-19
"CTLA4",40.7474508964178,0.238825938594794,0.0562154089195344,4.24840703260994,2.15295957372042e-05,0.00197644975828716
"CUNH1orf174",11.3284698509909,0.347065423595656,0.0705854409153246,4.91695481525717,8.79008301019026e-07,0.000104662909188661
"CUNH8orf33",35.9388125118129,0.336740124468907,0.0510356529067917,6.59813493684324,4.16362236592354e-11,1.13799369483174e-08
"DDX23",401.16866650481,0.0909671839213773,0.0239015248681375,3.80591549799582,0.00014128061679461,0.00970880398612562
"DDX24",256.50589539321,0.125104175631429,0.0286339307513075,4.3690884328103,1.24766239084006e-05,0.00119082443747956
"DKK2",26.1084958663163,0.24475638378759,0.0625818283252092,3.91098167531481,9.19217469163247e-05,0.00681341721244258
"DLG2",25.7955854263376,0.445528129050605,0.0823324055281085,5.41133380219895,6.25570373330854e-08,9.17452354838641e-06
"DOC2B",213.216938720302,0.425869736617202,0.0538668849349452,7.90596555066295,2.65864700481114e-15,1.99830555499118e-12
"DSC1",114.149186460845,0.449503620774243,0.109479346369063,4.10583032948456,4.02865117554754e-05,0.00336448326646769
"EDC4",231.747178826739,0.123844563139416,0.0280962343748978,4.40787051698511,1.04391919507145e-05,0.00102903051146961
"EDRF1",66.4166938200279,0.237187944351342,0.0393507013874443,6.02754045006735,1.66473594550043e-09,3.85002201549773e-07
"EEF1AKMT2",44.8033667328466,0.166822598154439,0.041348187140228,4.03458070818627,5.46998865569734e-05,0.00444473537658217
"EEF1D",560.538497784001,0.11588884803649,0.0216226772496401,5.35959755115055,8.34075467254501e-08,1.18006959637678e-05
"EGR1",82.9375077554587,0.304523615222027,0.0524416274093475,5.80690627399842,6.3637735926774e-09,1.12545207684615e-06
"EIF3D",391.228256150609,0.0965567746483747,0.0252812587908904,3.81930248992059,0.000133829567914486,0.00930308892335034
"EIF5B",1555.21552819157,0.0896986365390194,0.0197897623426689,4.53257775337804,5.82682172944211e-06,0.000620118213436025
"ENPP6",8.44719470353908,0.343750555592368,0.0869006222042036,3.95567427336256,7.63190886240191e-05,0.0058762833743324
"EPHA6",21.1448375625592,0.404783587612482,0.0600380412567526,6.74211848253719,1.5609370689811e-11,4.69295729789166e-09
"ETV6",244.182538158114,0.170543206664108,0.0286560102789739,5.95139396600656,2.65868244539532e-09,5.8885795152768e-07
"EXTL3",35.9891409260889,0.206475898420508,0.0516906601354596,3.99445272858619,6.48438566266996e-05,0.00509681189406987
"FAM107B",454.646404680698,0.13935906289698,0.0342144562987276,4.07310470405348,4.63905562131583e-05,0.00384753675185822
