#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"apicoplast API","LR699571.1",5214,5831,"-",,,"HEP_API01200","VVF13532.1",205,"apicoplast ribosomal protein S4 (apicoplast)"
"apicoplast API","LR699571.1",6886,7488,"-",,,"HEP_API02200","VVF13533.1",200,"apicoplast ribosomal protein L4 (apicoplast)"
"apicoplast API","LR699571.1",7492,7704,"-",,,"HEP_API02300","VVF13534.1",70,"ribosomal protein L23, putative (apicoplast)"
"apicoplast API","LR699571.1",7701,8438,"-",,,"HEP_API02400","VVF13535.1",245,"apicoplast ribosomal protein L2 (apicoplast)"
"apicoplast API","LR699571.1",8465,8734,"-",,,"HEP_API02500","VVF13536.1",89,"apicoplast ribosomal protein S19 (apicoplast)"
"apicoplast API","LR699571.1",8738,9376,"-",,,"HEP_API02600","VVF13537.1",212,"ribosomal protein S3, putative (apicoplast)"
"apicoplast API","LR699571.1",9382,9774,"-",,,"HEP_API02700","VVF13538.1",130,"apicoplast ribosomal protein L16 (apicoplast)"
"apicoplast API","LR699571.1",9785,10006,"-",,,"HEP_API02800","VVF13539.1",73,"apicoplast ribosomal protein S17 (apicoplast)"
"apicoplast API","LR699571.1",10003,10365,"-",,,"HEP_API02900","VVF13540.1",120,"apicoplast ribosomal protein L14 (apicoplast)"
"apicoplast API","LR699571.1",10366,10752,"-",,,"HEP_API03000","VVF13541.1",128,"apicoplast ribosomal protein S8 (apicoplast)"
"apicoplast API","LR699571.1",10771,11283,"-",,,"HEP_API03100","VVF13542.1",170,"apicoplast ribosomal protein L6 (apicoplast)"
"apicoplast API","LR699571.1",11285,12013,"-",,,"HEP_API03200","VVF13543.1",242,"apicoplast ribosomal protein S5 (apicoplast)"
"apicoplast API","LR699571.1",12015,12169,"-",,,"HEP_API03300","VVF13544.1",51,"hypothetical protein HEP_API03300, partial (apicoplast)"
"apicoplast API","LR699571.1",12261,12371,"-",,,"HEP_API03500","VVF13545.1",36,"apicoplast ribosomal protein L36 (apicoplast)"
"apicoplast API","LR699571.1",12776,13150,"-",,,"HEP_API03700","VVF13547.1",124,"apicoplast ribosomal protein S12 (apicoplast)"
"apicoplast API","LR699571.1",13170,13598,"-",,,"HEP_API03800","VVF13548.1",142,"apicoplast ribosomal protein S7 (apicoplast)"
"apicoplast API","LR699571.1",13648,14877,"-",,,"HEP_API03900","VVF13549.1",409,"elongation factor Tu, putative (apicoplast)"
"apicoplast API","LR699571.1",14884,15138,"-",,,"HEP_API04000","VVF13550.1",84,"hypothetical protein HEP_API04000 (apicoplast)"
"apicoplast API","LR699571.1",15470,15835,"-",,,"HEP_API04500","VVF13551.1",121,"probable protein, unknown function (apicoplast)"
"apicoplast API","LR699571.1",15852,18131,"-",,,"HEP_API04600","VVF13552.1",759,"chaperone protein ClpM (apicoplast)"
"apicoplast API","LR699571.1",18250,18483,"-",,,"HEP_API04800","VVF13553.1",77,"probable protein, unknown function (apicoplast)"
"apicoplast API","LR699571.1",18609,18920,"-",,,"HEP_API05000","VVF13554.1",103,"hypothetical protein HEP_API05000 (apicoplast)"
"apicoplast API","LR699571.1",18907,19587,"-",,,"HEP_API05100","VVF13555.1",226,"apicoplast ribosomal protein S2 (apicoplast)"
"apicoplast API","LR699571.1",19599,21904,"-",,,"HEP_API05200","VVF13556.1",763,"DNA-directed RNA polymerase subunit beta\\'\\', putative (apicoplast)"
"apicoplast API","LR699571.1",21922,23640,"-",,,"HEP_API05300","VVF13557.1",572,"DNA-directed RNA polymerase subunit beta\\', putative (apicoplast)"
"apicoplast API","LR699571.1",23647,26691,"-",,,"HEP_API05400","VVF13558.1",1010,"DNA-directed RNA polymerase subunit beta, putative (apicoplast)"
"apicoplast API","LR699571.1",26694,26993,"-",,,"HEP_API05600","VVF13559.1",99,"hypothetical protein, conserved (apicoplast)"
"mitochondrion MIT","LR699572.1",2320,3075,"-",,,"HEP_MIT00100","VVF13560.1",251,"cytochrome c oxidase subunit 3, putative, partial (mitochondrion)"
"mitochondrion MIT","LR699572.1",3880,5310,"-",,,"HEP_MIT00200","VVF13561.1",476,"cytochrome c oxidase subunit 1, putative, partial (mitochondrion)"
"mitochondrion MIT","LR699572.1",5426,6550,"-",,,"HEP_MIT00300","VVF13562.1",374,"cytochrome b, putative (mitochondrion)"
"Un","CABPSV020000001.1",203,3850,"-",,,"HEP_00000100","VWU48077.1",880,"DNA repair helicase RAD25, putative"
"Un","CABPSV020000001.1",6071,6874,"-",,,"HEP_00000200","VWU48078.1",106,"enhancer of rudimentary homolog, putative"
"Un","CABPSV020000001.1",7158,13404,"-",,,"HEP_00000300","VWU48079.1",967,"dynein intermediate chain, putative"
"Un","CABPSV020000001.1",14066,15578,"-",,,"HEP_00000400","VWU48080.1",230,"conserved protein, unknown function"
"Un","CABPSV020000001.1",16672,17476,"-",,,"HEP_00000500","VWU48081.1",83,"antigen UB05"
"Un","CABPSV020000001.1",17635,18838,"-",,,"HEP_00000600","VWU48082.1",121,"antigen UB05"
"Un","CABPSV020000001.1",19336,21327,"-",,,"HEP_00000700","VWU48083.1",663,"BSD-domain protein, putative"
"Un","CABPSV020000001.1",23714,24337,"-",,,"HEP_00000800","VWU48084.1",207,"GINS complex subunit Psf3, putative"
"Un","CABPSV020000001.1",26028,27467,"-",,,"HEP_00000900","VWU48085.1",479,"transporter, putative"
"Un","CABPSV020000001.1",29282,29765,"-",,,"HEP_00001000","VWU48086.1",101,"transcription elongation factor 1, putative"
"Un","CABPSV020000001.1",30811,33459,"-",,,"HEP_00001100","VWU48087.1",882,"GDP dissociation inhibitor, putative"
